id,address,city,state,zip,state,county,tract,longitude,latitude
1,1619 E 24th Ter, Kansas City, MO,64108,29,95,16200,-94.351829,38.390027
2,3039 Troost Ave, Kansas City, MO,64109,29,95,16200,-94.347452,38.400096
3,22 E 32nd St, Kansas City, MO,64111,29,95,17800,-94.336569,40.247864
4,3101 Main St, Kansas City, MO,64111,29,95,17800,-94.329796,40.247095
5,3450 Warwick Blvd, Kansas City, MO,64111,29,95,17800,-89.599597,37.627625
6,3101 Main St, Kansas City, MO,64111,29,95,17800,-94.357523,38.394473
8,3101 Main St, Kansas City, MO,64111,29,95,17800,-94.893159,39.892269
9,3701 SW Cheddington Dr, Lees Summit, MO,64082,29,95,18100,-94.453036,36.645564
12,2108 S Main St, Joplin, MO,64804,29,97,10800,-94.02347,38.183372
13,1918 S Sergeant Ave, Joplin, MO,64804,29,97,10800,-94.023425,38.188432
14,2130 Michigan Ave, Arnold, MO,63010,29,99,700110,-94.450803,36.6461
15,38 Fox Valley Ctr, Arnold, MO,63010,29,99,700110,-94.356172,38.483421
16,1051 Old Gravois Rd, Fenton, MO,63026,29,99,700303,-90.416714,38.434822
18,1550 Saint Marys Ln, Festus, MO,63028,29,99,700801,-94.354078,38.475658
19,3775 Athena School Rd, De Soto, MO,63020,29,99,701300,-90.379777,38.436544
20,926 Lynn St, Lebanon, MO,65536,29,105,960400,-90.401912,38.444881
21,332 Harwood Ave, Lebanon, MO,65536,29,105,960400,-90.369581,38.446608
23,145 N Monroe St, Lebanon, MO,65536,29,105,960400,-90.384414,38.411676
24,100 N 4th St, Odessa, MO,64076,29,107,90601,-90.370215,38.406889
25,607 S 3rd St, Odessa, MO,64076,29,107,90601,-90.386099,38.404582
26,5 W Delta St, Aurora, MO,65605,29,109,470601,-90.405417,38.416099
27,1011 Jamison St, Kirksville, MO,63501,29,1,950400,-90.376468,38.402993
28,601 Learning Ln, Monett, MO,65708,29,9,960300,-90.353357,38.444185
29,307 15th St, Monett, MO,65708,29,9,960300,-92.253584,38.778847
30,309 15th St, Monett, MO,65708,29,9,960300,-92.259509,38.760124
31,1410 Hinkson Ave, Columbia, MO,65201,29,19,200,-92.255775,38.767124
32,1509 Hinkson Ave, Columbia, MO,65201,29,19,200,-93.585731,37.313468
33,1112 E Broadway, Columbia, MO,65201,29,19,500,-92.260884,38.769837
34,1208 Locust St, Columbia, MO,65201,29,19,500,-92.262165,38.775411
35,10 E Broadway, Columbia, MO,65203,29,19,600,-93.578412,37.313618
36,1800 W Rollins Rd, Columbia, MO,65203,29,19,600,-92.26262,38.777676
37,301 W Broadway, Columbia, MO,65203,29,19,700,-93.719797,36.98183
40,312 Ridgeway Ave, Columbia, MO,65203,29,19,700,-90.555692,38.561385
41,450 W Sexton St, Harrisburg, MO,65256,29,19,1901,-93.703018,36.983176
42,2697 County Rd 650, Broseley, MO,63932,29,23,950600,-92.658846,36.949007
43,9348 Highway 51, Broseley, MO,63932,29,23,950600,-90.4655,38.580245
44,8067 State Road C, Fulton, MO,65251,29,27,70600,-90.55762,38.584241
46,307 Redwood Dr, New Bloomfield, MO,65063,29,27,70600,-90.564581,38.605915
47,4197 State Hwy E, Oak Ridge, MO,63769,29,31,880100,-90.557715,38.575601
48,608 Rosamund St, Jackson, MO,63755,29,31,880500,-90.618681,38.605616
49,1327 E Main St, Jackson, MO,63755,29,31,880500,-90.507017,38.567948
50,735 N Clark St, Cape Girardeau, MO,63701,29,31,881100,-90.549429,38.610102
51,1912 Broadway St, Cape Girardeau, MO,63701,29,31,881100,-90.52138,38.576908
52,601 N Kingshighway St, Cape Girardeau, MO,63701,29,31,881100,-93.363557,37.12432
53,2089 Bessie St, Cape Girardeau, MO,63701,29,31,881100,-91.150306,38.418168
54,1111 Linden St, Cape Girardeau, MO,63703,29,31,881400,-90.538208,38.567719
55,8301 E 163rd St, Belton, MO,64012,29,37,60003,-90.54371,38.567739
56,16311 Cornerstone Dr, Belton, MO,64012,29,37,60003,-93.367537,37.127458
57,127 Congress St, Belton, MO,64012,29,37,60004,-89.820894,37.024758
58,202 Old Highway 7, Garden City, MO,64747,29,37,60700,-91.726308,38.286994
59,1305 Sanders St, Harrisonville, MO,64701,29,37,61400,-94.495015,38.827444
60,1008 County Rd, Brunswick, MO,65236,29,41,470200,-91.726338,38.285665
61,601 E Broadway St, Brunswick, MO,65236,29,41,470200,-94.541536,38.814988
62,131 W Cedar St, Nixa, MO,65714,29,43,20202,-94.5172,38.826493
64,1375 W Mount Vernon St, Nixa, MO,65714,29,43,20202,-94.544264,38.822295
65,1911 Fitz Ln, Nixa, MO,65714,29,43,20202,-94.53544,38.800116
66,890 Cheyenne Rd, Nixa, MO,65714,29,43,20305,-94.520536,38.814382
67,900 Cheyenne Rd, Nixa, MO,65714,29,43,20305,-94.038422,40.265412
68,5940 N Flora Ave, Gladstone, MO,64118,29,47,21001,-94.548189,38.811857
69,300 NE 58th Ter, Gladstone, MO,64118,29,47,21001,-94.028134,40.26378
70,423 N Chestnut St, Cameron, MO,64429,29,49,960100,-90.265191,38.792796
71,417 N Nettleton St, Cameron, MO,64429,29,49,960100,-90.335215,38.762418
72,602 S Harris St, Cameron, MO,64429,29,49,960100,-89.928813,36.889652
73,707 Linden Dr, Jefferson City, MO,65109,29,51,10600,-90.248686,38.043298
76,1002 Myrtle Ave, Jefferson City, MO,65109,29,51,10600,-93.395762,36.504586
77,623 Ohio St, Jefferson City, MO,65109,29,51,10600,-94.321181,39.032305
78,812 Saint Marys Blvd, Jefferson City, MO,65109,29,51,10600,-94.305761,39.028363
1822,,,,,,,,-94.79622,39.378561
79,609 Marshall St, Jefferson City, MO,65101,29,51,20700,-90.270733,38.788383
80,605 Cherry St, Jefferson City, MO,65101,29,51,20700,-94.273086,38.995717
81,700 W High St, Jefferson City, MO,65101,29,51,20700,-94.304466,39.026751
83,209 W Main St, Malden, MO,63863,29,69,360100,-94.281219,39.029147
84,507 Arnold Blvd, Malden, MO,63863,29,69,360200,-94.262213,39.023444
85,505 Burkhart St, Malden, MO,63863,29,69,360200,-93.506759,37.251638
86,334 W 9th St, Hermann, MO,65041,29,73,960100,-93.396653,37.619149
87,4035 W Weaver Rd, Battlefield, MO,65619,29,77,4101,-93.390871,37.618116
88,4222 W Sandy St, Battlefield, MO,65619,29,77,4101,-93.412491,37.606194
89,112 S 4th St, Maitland, MO,64466,29,87,960100,-93.39703,37.577981
90,1100 E 4th St, Kansas City, MO,64106,29,95,300,-93.409075,37.605935
92,335 N Elmwood Ave, Kansas City, MO,64123,29,95,700,-93.42307,37.611244
95,5208 E 24th St, Kansas City, MO,64127,29,95,3400,-90.550241,37.922001
97,2426 Indiana Ave, Kansas City, MO,64127,29,95,3700,-90.535991,37.921381
98,2415 Agnes Ave, Kansas City, MO,64127,29,95,3700,-90.553012,37.920523
100,3740 Forest Ave, Kansas City, MO,64109,29,95,5300,-92.745601,38.970839
101,3827 Troost Ave, Kansas City, MO,64109,29,95,5300,-92.743823,38.944664
102,4329 Troost Ave, Kansas City, MO,64110,29,95,6300,-92.74331,38.967685
103,4848 Woodland Ave, Kansas City, MO,64110,29,95,7500,-91.200263,39.333859
104,1648 E 63rd St, Kansas City, MO,64110,29,95,8000,-91.213829,39.34443
105,5809 Michigan Ave, Kansas City, MO,64130,29,95,8000,-91.246374,38.152545
106,7118 Prospect Ave, Kansas City, MO,64132,29,95,9000,-93.244018,36.659112
107,7403 Troost Ave, Kansas City, MO,64131,29,95,9000,-91.200347,39.337098
108,711 E 92nd St, Kansas City, MO,64131,29,95,9700,-93.224995,36.699943
110,404 W 86th St, Kansas City, MO,64114,29,95,9900,-93.238115,36.700871
111,11400 Cleveland Ave, Kansas City, MO,64137,29,95,10204,-93.278329,36.623653
112,1403 W Linden Ave, Independence, MO,64052,29,95,11700,-93.244243,36.659002
113,11804 E 23rd St S, Independence, MO,64050,29,95,11700,-90.37249,38.722689
114,3700 S Delaware Ave, Independence, MO,64055,29,95,12200,-92.907908,36.787285
116,8650 Ruskin Way, Kansas City, MO,64134,29,95,13210,-90.351292,38.612495
117,15010 White Ave, Grandview, MO,64030,29,95,13410,-93.37557,36.690631
118,800 Church St, Lees Summit, MO,64063,29,95,13904,-90.417005,38.726003
119,1905 E Langsford Rd, Lees Summit, MO,64063,29,95,13904,-90.422405,38.756071
120,120 SW Garden St, Grain Valley, MO,64029,29,95,14006,-93.077427,39.780606
121,4300 Phelps Rd, Independence, MO,64055,29,95,14501,-90.244138,36.675235
122,4300 S Phelps Rd, Independence, MO,64055,29,95,14501,-93.076888,39.788262
123,16716 E US 40, Independence, MO,64055,29,95,14501,-93.06657,39.780948
124,1000 Brookwood Ctr, Fenton, MO,63026,29,189,221424,-90.242363,36.676141
125,1157 Smizer Mill Rd, Fenton, MO,63026,29,189,221424,-93.117952,39.424969
126,945 N Miami Ave, Marshall, MO,65340,29,195,90200,-94.197207,39.13478
127,2 Corporate Dr, Dexter, MO,63841,29,207,470500,-93.124614,39.422446
128,11 W Castor St, Dexter, MO,63841,29,207,470500,-93.104364,37.633982
129,829 S Falls Ave, Branson, MO,65616,29,213,480105,-93.09963,37.644023
130,500 W Highland Ave, Nevada, MO,64772,29,217,950300,-93.108745,37.64328
133,304 Beverly St, Brookfield, MO,64628,29,115,490400,-92.1066,37.124733
134,210 W John St, Brookfield, MO,64628,29,115,490400,-94.331717,38.25886
135,510 S Monroe St, Brookfield, MO,64628,29,115,490400,-93.626601,38.464555
136,1303 Bryan St, Chillicothe, MO,64601,29,117,480300,-92.102239,37.126453
138,1317 Lyon St, Hannibal, MO,63401,29,127,960800,-93.62541,38.464354
139,1110 Jones Ave, Eldon, MO,65026,29,131,962900,-93.62541,38.464354
141,400 S Oak St, California, MO,65018,29,135,385200,-92.566403,38.629388
142,800 Lake Dr, California, MO,65018,29,135,385200,-92.561247,38.620954
143,707 E Smith St, California, MO,65018,29,135,385200,-92.561558,38.629506
144,202 W Patrick St, California, MO,65018,29,135,385200,-92.739777,38.010664
145,114 S Jefferson, Neosho, MO,64850,29,145,20100,-92.567789,38.629722
146,301 Big Spring Dr, Neosho, MO,64850,29,145,20100,-92.740425,38.013085
147,800 University Dr, Maryville, MO,64468,29,147,470300,-92.741541,38.015975
150,129 Highway C, Altenburg, MO,63732,29,157,470500,-92.759727,38.000127
151,500 School St, Frankford, MO,63441,29,163,460200,-92.738296,38.003777
152,23526 Pike 9247, Louisiana, MO,63353,29,163,460200,-94.238326,39.742568
153,2001 NW 87th St, Kansas City, MO,64154,29,165,30205,-94.247601,39.742709
155,707 Sinnock Ave, Moberly, MO,65270,29,175,490300,-94.234294,39.755853
156,1078 Bryan Rd, O Fallon, MO,63366,29,183,311712,-94.243682,39.73505
157,8970 Mexico Rd, O Fallon, MO,63366,29,183,311712,-89.546934,37.316486
1823,,,,,,,,-90.954605,38.963792
158,712 Maple St, Farmington, MO,63640,29,187,950902,-89.544205,37.312949
159,905 Maple St, Farmington, MO,63640,29,187,950902,-89.569035,37.335062
160,101 Hyler Dr, Farmington, MO,63640,29,187,950902,-89.570308,37.307862
161,15444 New Halls Ferry Rd, Florissant, MO,63031,29,189,210928,-89.570308,37.307862
162,6200 Howdershell Rd, Hazelwood, MO,63042,29,189,211401,-89.534217,37.289579
163,6255 Howdershell Rd, Hazelwood, MO,63042,29,189,211401,-89.552911,37.314738
164,11222 Olive Blvd, Creve Coeur, MO,63141,29,189,215301,-89.566135,37.291985
165,405 Country Club Dr, Ballwin, MO,63011,29,189,217807,-94.557417,37.161892
166,510 Big Bend Rd, Ballwin, MO,63021,29,189,217932,-89.560704,37.32398
167,497 Big Bend Rd, Ballwin, MO,63021,29,189,217932,-89.526419,37.307084
168,2002 W 32, Joplin, MO,64804,29,97,10900,-94.567519,37.176579
169,1001 W 7th St, Joplin, MO,64801,29,97,11000,-93.494166,39.362092
170,1200 N Main St, Joplin, MO,64801,29,97,11100,-89.548969,37.310182
171,610 W F St, Joplin, MO,64801,29,97,11100,-93.484812,39.373261
