id,address,city,state,zip,longitude,latitude,state,county,tract
0,3205 N Twyman Rd, Independence, MO,64058,-94.302282,39.158868,29,95,15000
1,2501 Paseo Blvd, Kansas City, MO,64108,-94.565477,39.080439,29,95,16200
2,2316 Church Rd, Arnold, MO,63010,-90.379955,38.433841,29,99,700110
3,3511 Jeffco Blvd, Arnold, MO,63010,-90.378486,38.414397,29,99,700110
4,1599 Saint Marys Ln, Festus, MO,63028,-90.417617,38.226094,29,99,700801
5,401 S Walnut St, Centerview, MO,64019,-93.843941,38.741883,29,101,960300
6,112 W Potter Ave, Kirksville, MO,63501,-92.582709,40.210016,29,1,950300
7,407 7th St, Monett, MO,65708,-93.920518,36.923768,29,9,960300
8,1114 College Park Dr, Columbia, MO,65203,-92.366999,38.940468,29,19,600
9,606 Ridgeway Ave, Columbia, MO,65203,-92.347527,38.959919,29,19,700
10,5401 Mitchell Ave, St Joseph, MO,64507,-94.769866,39.755517,29,21,701
11,4715 Frederick Ave, St Joseph, MO,64506,-94.783125,39.779251,29,21,701
12,120 Michigan Ave, St Joseph, MO,64504,-94.862582,39.715818,29,21,2400
13,55 N Pacific St, Cape Girardeau, MO,63701,-89.530011,37.305429,29,31,880800
14,1919 Ritter Dr, Cape Girardeau, MO,63701,-89.544005,37.314862,29,31,881100
15,210 S Sprigg St, Cape Girardeau, MO,63703,-89.527435,37.300872,29,31,881400
16,1202 S Commercial St, Harrisonville, MO,64701,-94.356634,38.647487,29,37,61400
17,1401 NE 42nd Ter, Kansas City, MO,64116,-94.560845,39.171935,29,47,20201
18,1305 Swifts Hwy, Jefferson City, MO,65109,-92.192483,38.568328,29,51,10600
19,812 Stadium Blvd, Jefferson City, MO,65109,-92.185146,38.564428,29,51,10600
20,314 W High St, Jefferson City, MO,65101,-92.175167,38.579068,29,51,20700
21,32073 Major Ave, Jamesport, MO,64648,-93.799155,39.960163,29,61,470200
22,22846 State Hwy 190, Jamesport, MO,64648,-93.789676,39.957907,29,61,470200
23,32073 Major Ave, Jamesport, MO,64648,-93.799155,39.960163,29,61,470200
24,32679 Oval Ave, Jamesport, MO,64648,-93.787284,39.92556,29,61,470200
25,133 W 4th St, Hermann, MO,65041,-91.43848,38.704322,29,73,960100
26,531 S Jefferson Ave, Springfield, MO,65806,-93.289933,37.204974,29,77,100
27,3555 S Fremont Ave, Springfield, MO,65804,-93.271965,37.14876,29,77,2700
28,2157 N Prospect Ave, Springfield, MO,65803,-93.272591,37.236018,29,77,5500
29,121 N Quincy Ave, Kansas City, MO,64123,-94.52209,39.112973,29,95,700
30,3740 Forest Ave, Kansas City, MO,64109,-94.570827,39.058728,29,95,5300
31,8929 Holmes Rd, Kansas City, MO,64131,-94.581457,38.965839,29,95,9700
