id,address,city,state,zip,longitude,latitude,state,county,tract
0,2101 N Twyman Rd, Independence, MO,64058,-94.292249,39.139073,29,95,15000
1,2101 N Twyman Rd, Independence, MO,64058,-94.292249,39.139073,29,95,15000
2,1015 Central St, Kansas City, MO,64105,-94.58683,39.102113,29,95,15700
3,2727 Tracy Ave, Kansas City, MO,64109,-94.568269,39.077183,29,95,16200
4,201 E Armour Blvd, Kansas City, MO,64111,-94.583291,39.063646,29,95,17800
5,201 E Armour Blvd, Kansas City, MO,64111,-94.583291,39.063646,29,95,17800
6,201 E Armour Blvd, Kansas City, MO,64111,-94.583291,39.063646,29,95,17800
7,3450 Warwick Blvd, Kansas City, MO,64111,-94.583379,39.063892,29,95,17800
8,714 S Main St, Carthage, MO,64836,-94.31099,37.173867,29,97,11600
9,849 Jeffco Blvd, Arnold, MO,63010,-90.371565,38.447241,29,99,700110
10,739 Jeffco Blvd, Arnold, MO,63010,-90.367718,38.449557,29,99,700110
11,743 Jeffco Blvd, Arnold, MO,63010,-90.367794,38.449511,29,99,700110
12,751 Jeffco Blvd, Arnold, MO,63010,-90.367945,38.44942,29,99,700110
13,4630 Brennan Rd, Murphy, MO,63049,-90.505801,38.486716,29,99,700303
14,1501 Midmeadow Ln, Festus, MO,63028,-90.41352,38.222467,29,99,700801
15,1500 Midmeadow Ln, Festus, MO,63028,-90.413426,38.222387,29,99,700801
16,1717 W Main St, Festus, MO,63028,-90.416712,38.217176,29,99,700801
17,501 Westwind Dr, Festus, MO,63028,-90.41404,38.224003,29,99,700801
18,3775 Athena School Rd, De Soto, MO,63020,-90.473876,38.123604,29,99,701300
19,305 W Prospect St, Aurora, MO,65605,-93.731047,36.954927,29,109,470601
20,500 W Olive St, Aurora, MO,65605,-93.728736,36.975687,29,109,470601
21,233 S Harris St, Harrisburg, MO,65256,-92.46236,39.139943,29,19,1901
22,221 S Harris St, Harrisburg, MO,65256,-92.462358,39.140092,29,19,1901
23,205 Caruthers St, Cape Girardeau, MO,63701,-89.544969,37.308086,29,31,881100
24,1900 Thilenius St, Cape Girardeau, MO,63701,-89.544418,37.311012,29,31,881100
25,102 E Eldridge St, Bosworth, MO,64623,-93.332416,39.467906,29,33,960100
26,102 E Eldridge St, Bosworth, MO,64623,-93.332416,39.467906,29,33,960100
27,1801 S James St, Harrisonville, MO,64701,-94.338749,38.642319,29,37,61400
28,503 S Lexington St, Harrisonville, MO,64701,-94.347965,38.652514,29,37,61400
29,601 S Highland Dr, Harrisonville, MO,64701,-94.34577,38.651877,29,37,61400
30,1008 County Rd, Brunswick, MO,65236,-93.117952,39.424969,29,41,470200
31,1008 County Rd, Brunswick, MO,65236,-93.117952,39.424969,29,41,470200
32,900 Cheyenne Rd, Nixa, MO,65714,-93.265139,37.047713,29,43,20305
33,4327 N Holmes St, Kansas City, MO,64116,-94.572012,39.17282,29,47,20201
34,2000 NE 46th St, Kansas City, MO,64116,-94.555891,39.176748,29,47,20400
35,1022 S Chestnut St, Cameron, MO,64429,-94.238665,39.733756,29,49,960100
