countyTract,Offender Density,% under 18,% bachelor's,% female-headed HH,% household sizes > 4,median income,% w/o health ins.,poverty rate,% receiving food stamps
510103700,0.000722804,0.153299091,0.198387097,0.180232558,0.041221374,55033,0.104714065,0.083483918,0
510103800,0.001233046,0.173867505,0.177978168,0.128297362,0.047244094,65313,0.04285341,0.030826141,0
510104200,0.001634877,0.119376654,0.291123526,0.257062147,0.033459255,43919,0.11014885,0.13541963,0.006670087
510104500,0.001673173,0.116468039,0.334205607,0.211678832,0.02955665,41976,0.082026538,0.055296857,0
510105198,0,0.110020214,0.271472393,0.219135802,0.03153888,55224,0.064768286,0.232178548,0.004501608
510105200,0.003160806,0.133084112,0.223668639,0.428057554,0.036262204,43083,0.114778144,0.197945476,0.008124077
510105300,0.007326007,0.208352247,0.090909091,0.806794055,0.066231343,16964,0.201257862,0.47985348,0.041889483
510105400,0.002461034,0.34822497,0.212977099,0.603614458,0.175381264,28750,0.265817584,0.482260726,0.054794521
510105500,0.00183621,0.267967146,0.247466787,0.424398625,0.142857143,31583,0.156212545,0.168564084,0.033613445
510106100,0.004916018,0.291306139,0.060842434,0.963362069,0.144373673,22208,0.278412181,0.329711659,0.071080818
510106200,0.008818342,0.370540852,0.184113624,0.753684211,0.146507666,14844,0.242288278,0.519106408,0.107828656
510106300,0.007667032,0.279755849,0.21685201,0.946969697,0.117797695,20298,0.208240535,0.30449069,0.032653061
510106400,0.006045949,0.236204013,0.201415351,1,0.109251969,26422,0.271667314,0.408980583,0.014427412
510106500,0.00339213,0.218855219,0.061329305,0.908730159,0.123766816,23343,0.176258993,0.281669691,0.074958814
510106600,0.008153477,0.29220415,0.099728261,0.879907621,0.162121212,16996,0.295685894,0.482494005,0.040914561
510106700,0.003571429,0.273399716,0.197195443,0.54556962,0.118538939,20938,0.275066548,0.436102677,0.084980237
510107200,0.007866273,0.299552906,0.191284663,0.785714286,0.162886598,27768,0.234408602,0.41774676,0.031331593
510107300,0.003665831,0.247641983,0.139229025,0.598984772,0.13423913,31743,0.140881764,0.254905847,0.032159265
510107400,0.00616991,0.302725968,0.213612565,0.673469388,0.195488722,28112,0.1695231,0.25676317,0.057387057
510107500,0.006149116,0.236444117,0.163797115,0.474626866,0.129770992,26102,0.232871126,0.294388932,0.03718593
510107600,0.006404099,0.244494382,0.12094193,0.809075342,0.111948332,27882,0.211807872,0.39545309,0.029467681
510108100,0.008106355,0.2724067,0.064573592,0.790794979,0.153344209,38915,0.225301598,0.205252918,0.034195163
510108200,0.003503309,0.209414381,0.172502334,0.346938776,0.084315503,44196,0.166888004,0.126822802,0.015355086
510108300,0.003543307,0.270401412,0.082347973,0.818018018,0.134090909,31346,0.157480315,0.376771654,0.112394958
510109600,0.003280343,0.258745476,0.058714748,0.834597876,0.121096725,26292,0.220223627,0.357052738,0.044649185
510109700,0.00578428,0.289505428,0.155833777,0.826629681,0.132890365,23078,0.181461676,0.429738006,0.160930233
510110100,0.004501385,0.257037534,0.198272477,0.937212864,0.126172208,21548,0.235249334,0.378116343,0.076007326
510110200,0.005268357,0.274679729,0.084640989,0.697347894,0.122789784,25384,0.253814663,0.326173166,0.101928375
510110300,0.004186795,0.258960934,0.13022113,0.875177305,0.103896104,25094,0.214887167,0.32979066,0.044198895
510110400,0.003624502,0.263883419,0.162790698,0.696480938,0.12893401,27371,0.20722135,0.314244291,0.079079079
79960100,0.001448226,0.265065913,0.094323637,0.098081023,0.101204819,35811,0.177268475,0.144774688,0.003070624
79960200,0.001009897,0.25599233,0.133626522,0.191653787,0.109571788,42011,0.266698935,0.079372624,0.020725389
99700110,0.001404315,0.251466367,0.104888313,0.055831951,0.102102102,71729,0.044331686,0.039193157,0
